Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2017,Noviembre,27,Aruba,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,20,0.02,72.93
2018,Agosto,676,Rusia- Federación de,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",356184,170.2,506049.84
2018,Agosto,764,Suecia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",264654,107.86,324356.59
2018,Agosto,830,Ucrania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",288241.56,110.54,328782.36
2018,Agosto,27,Aruba,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,18,0.04,121.48
2018,Agosto,249,Estados Unidos,73,Tolima,0803902000 - Los demás bananos secos,93.6,1.06,3078.79
2018,Agosto,275,Francia,5,Antioquia,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",6480,37.66,109159.47
2018,Agosto,573,Países Bajos,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,324,0.07,217.23
2018,Agosto,764,Suecia,11,Bogotá,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",5004,34.66,104058.68
2018,Agosto,27,Aruba,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,20,0.02,72.66
2018,Agosto,27,Aruba,25,Cundinamarca,0803901900 - Los demás bananos o plátanos frescos.,10,0.01,35.77
2018,Agosto,200,Curazao,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",307800,142.56,415294.1
2018,Agosto,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,193280,168.91,493875.88
2018,Julio,80,Bahrein,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,175,1.27,3699.74
2018,Julio,87,Bélgica,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,70.4,0.11,330.3
